customer_id,signup_date,country
113,2023-03-03,Australia
114,2021-08-05,UK
115,2023-02-03,USA
116,2021-07-07,UK
117,2022-01-15,USA
118,2022-05-08,Australia
119,2021-02-10,USA
120,2021-06-06,Australia
121,2021-01-15,Canada
122,2023-03-24,Canada
123,2021-03-06,Canada
124,2023-05-07,UK
125,2023-04-19,UK
126,2022-06-05,Australia
127,2021-12-10,Canada
128,2021-05-09,UK
129,2022-10-10,Canada
130,2022-04-17,UK
131,2021-03-04,USA
132,2021-05-19,USA
133,2022-05-14,Canada
134,2022-08-16,Australia
135,2022-01-27,UK
136,2022-11-06,UK
137,2022-02-23,USA
138,2021-10-16,USA
139,2022-01-14,Australia
140,2023-02-12,Australia
141,2022-05-05,Australia
142,2021-08-19,Canada
143,2021-02-10,USA
144,2021-01-28,Canada
145,2021-05-15,USA
146,2021-07-20,USA
147,2023-04-20,UK
148,2023-02-19,USA
149,2021-02-02,USA
150,2021-02-17,Canada
151,2022-05-18,USA
152,2022-02-11,Canada
153,2022-07-28,Australia
154,2022-12-29,USA
155,2023-03-16,USA
156,2021-04-09,Canada
157,2022-11-15,Australia
158,2023-05-22,UK
159,2022-12-27,Australia
160,2022-07-01,Canada
161,2023-01-09,Australia
162,2022-09-05,Canada
163,2022-04-07,Canada
164,2022-10-05,UK
165,2023-02-08,USA
166,2021-01-05,Canada
167,2021-08-06,Canada
168,2022-05-18,UK
169,2023-02-06,Canada
170,2022-02-02,USA
171,2023-05-21,UK
172,2023-03-06,USA
173,2022-01-28,USA
174,2021-07-26,UK
175,2021-01-15,Canada
176,2023-05-08,USA
177,2022-07-08,USA
178,2023-06-11,USA
179,2022-04-06,USA
180,2022-11-22,UK
181,2022-07-29,UK
182,2023-05-14,Australia
183,2023-01-13,Australia
184,2021-08-29,USA
185,2022-07-18,Canada
186,2021-04-06,USA
187,2023-06-19,Canada
188,2023-01-04,USA
189,2022-04-30,Australia
190,2022-02-11,Australia
191,2021-08-19,Canada
192,2023-01-19,USA
193,2022-10-17,Canada
194,2021-06-20,Australia
195,2022-06-25,USA
196,2021-02-05,USA
197,2022-06-09,Canada
198,2021-06-09,UK
199,2023-04-19,Canada
200,2022-11-30,Australia
201,2021-08-31,Australia
202,2021-03-27,Australia
203,2023-03-07,Australia
204,2022-08-01,Australia
205,2022-11-13,UK
206,2022-07-11,USA
207,2022-07-28,Canada
208,2022-10-08,Canada
209,2023-03-07,Australia
210,2021-01-28,Canada
211,2022-09-12,Australia
212,2022-07-10,UK
213,2021-12-06,UK
214,2023-03-09,USA
215,2021-11-27,UK
216,2022-10-02,UK
217,2022-05-21,USA
218,2021-12-14,Canada
219,2022-04-18,Australia
220,2021-08-19,Australia
221,2021-07-09,Canada
222,2021-08-13,USA
223,2022-01-20,Canada
224,2022-01-12,UK
225,2021-10-10,USA
226,2022-09-25,USA
227,2022-09-20,USA
228,2023-01-15,Australia
229,2021-09-16,Canada
230,2021-12-25,USA
231,2022-12-11,USA
232,2022-04-01,USA
233,2022-02-15,Canada
234,2022-10-11,Australia
235,2021-11-14,UK
236,2022-11-08,Australia
237,2021-08-13,USA
238,2023-03-30,Australia
239,2021-08-22,Australia
240,2022-11-15,UK
241,2022-10-26,Canada
242,2023-04-07,Canada
243,2022-01-09,Australia
244,2022-11-03,Australia
245,2022-08-31,Canada
246,2022-04-17,Canada
247,2021-08-21,UK
248,2022-11-23,USA
249,2021-04-23,Australia
250,2023-04-10,Canada
251,2022-05-12,Australia
252,2022-03-18,Australia
253,2022-07-18,Canada
254,2021-09-25,UK
255,2022-05-25,Australia
256,2023-03-18,UK
257,2022-01-21,Canada
258,2022-01-22,USA
259,2021-04-23,USA
260,2022-09-05,Australia
261,2022-09-17,Canada
262,2021-03-22,UK
263,2022-11-30,Australia
264,2021-04-23,Canada
265,2021-01-02,Canada
266,2022-10-04,UK
267,2021-08-08,Australia
268,2022-07-20,Canada
269,2023-05-05,Canada
270,2023-01-06,Canada
271,2021-08-13,UK
272,2022-01-20,Australia
273,2022-02-07,Australia
274,2022-09-30,Australia
275,2021-05-10,Australia
276,2021-02-22,USA
277,2022-11-15,USA
278,2022-12-31,Australia
279,2022-11-03,UK
280,2022-12-11,USA
281,2022-02-20,Canada
282,2021-09-04,USA
283,2023-04-16,Canada
284,2022-03-15,Australia
285,2021-07-22,USA
286,2021-07-03,UK
287,2021-05-03,USA
288,2022-02-05,USA
289,2023-02-06,USA
290,2021-10-21,Australia
291,2021-10-07,UK
292,2023-04-17,USA
293,2023-06-03,UK
294,2022-09-02,Australia
295,2021-07-17,Canada
296,2022-05-26,USA
297,2023-01-22,UK
298,2021-05-24,UK
299,2022-09-01,Australia
300,2021-07-20,USA
301,2021-05-04,Canada
302,2021-07-06,UK
303,2021-11-22,USA
304,2022-04-09,Canada
305,2021-12-15,UK
306,2023-02-10,UK
307,2022-10-22,Canada
308,2023-02-03,Canada
309,2022-02-07,Australia
310,2021-12-12,USA
311,2022-05-26,USA
312,2021-05-27,Australia
313,2021-05-28,UK
314,2023-05-14,Canada
315,2022-12-12,Canada
316,2023-03-31,Canada
317,2022-05-04,UK
318,2022-10-02,Canada
319,2022-07-05,Canada
320,2021-12-04,Australia
321,2023-05-22,UK
322,2022-10-03,USA
323,2023-02-18,Australia
324,2022-04-18,Australia
325,2021-05-31,USA
326,2022-02-19,Australia
327,2021-10-25,UK
328,2022-09-03,Canada
329,2021-09-20,UK
330,2023-02-03,USA
331,2021-05-24,USA
332,2021-12-12,Australia
333,2022-09-16,UK
334,2022-07-26,UK
335,2023-05-31,USA
336,2021-01-02,UK
337,2023-06-16,USA
338,2021-10-31,UK
339,2021-09-11,UK
340,2022-10-14,UK
341,2022-03-29,USA
342,2021-02-06,Australia
343,2021-06-09,UK
344,2021-01-09,USA
345,2021-08-21,USA
346,2021-04-09,UK
347,2022-10-21,UK
348,2023-03-27,Australia
349,2021-07-27,USA
350,2021-05-11,USA
351,2022-02-08,Canada
352,2021-06-01,USA
353,2021-02-23,Australia
354,2021-04-30,Canada
355,2022-11-04,Canada
356,2022-09-20,Canada
357,2022-08-10,UK
358,2022-09-17,UK
359,2022-02-24,USA
360,2022-02-26,Canada
361,2021-04-14,Australia
362,2023-05-02,UK
363,2021-09-11,Australia
364,2021-08-15,Australia
365,2021-04-22,UK
366,2022-05-25,UK
367,2022-04-18,UK
368,2021-04-09,UK
369,2021-06-02,Canada
370,2023-05-11,Canada
371,2023-06-15,Canada
372,2023-05-28,Canada
373,2021-12-04,USA
374,2022-12-07,Canada
375,2023-04-02,UK
376,2021-06-12,Australia
377,2022-12-21,Canada
378,2022-11-12,USA
379,2021-06-10,UK
380,2022-08-03,Australia
381,2023-03-12,Australia
382,2022-02-02,Canada
383,2021-10-04,Australia
384,2023-03-27,Canada
385,2022-05-19,Canada
386,2023-06-15,UK
387,2022-01-27,UK
388,2021-05-15,USA
389,2021-07-14,UK
390,2022-02-05,UK
391,2022-10-02,Canada
392,2021-02-02,UK
393,2022-11-19,Canada
394,2022-04-05,Canada
395,2023-06-02,UK
396,2022-04-15,USA
397,2022-01-10,USA
398,2021-01-22,Australia
399,2023-01-20,Australia
400,2022-11-01,UK
401,2021-02-07,USA
402,2021-08-18,Canada
403,2021-12-31,Australia
404,2022-07-17,Canada
405,2022-03-14,Australia
406,2023-02-15,UK
407,2021-10-10,USA
408,2021-01-27,Australia
409,2021-08-14,USA
410,2021-10-04,Canada
411,2023-03-09,UK
412,2022-09-01,USA
413,2021-10-11,UK
414,2023-05-29,USA
415,2022-04-26,Canada
416,2022-03-29,Canada
417,2023-04-09,UK
418,2023-03-27,Canada
419,2022-10-21,Australia
420,2022-05-31,USA
421,2022-07-01,Canada
422,2021-07-11,Australia
423,2021-02-18,UK
424,2022-05-27,Australia
425,2021-01-17,UK
426,2021-06-21,UK
427,2021-08-08,USA
428,2021-06-07,USA
429,2022-04-22,Australia
430,2021-02-15,USA
431,2022-01-08,USA
432,2022-06-02,USA
433,2021-04-09,Australia
434,2023-06-11,Canada
435,2023-01-15,USA
436,2021-02-06,USA
437,2021-10-07,Australia
438,2021-12-15,Canada
439,2022-05-12,USA
440,2021-10-29,UK
441,2021-06-30,Australia
442,2022-08-30,USA
443,2021-04-09,USA
444,2022-12-01,UK
445,2021-04-26,UK
446,2021-07-10,Australia
447,2021-09-10,Australia
448,2021-06-10,UK
449,2021-09-13,Australia
450,2021-11-19,UK
451,2021-05-08,USA
452,2021-01-18,UK
453,2023-03-04,UK
454,2023-01-05,Canada
455,2022-07-20,UK
456,2022-07-24,UK
457,2021-11-19,Canada
458,2023-05-22,Australia
459,2022-11-17,Canada
460,2023-03-03,USA
461,2022-09-18,Canada
462,2021-10-15,USA
463,2023-05-04,Australia
464,2022-10-25,Canada
465,2022-10-01,Canada
466,2021-06-04,Australia
467,2022-05-05,USA
468,2022-01-21,Canada
469,2023-02-24,USA
470,2021-04-14,Canada
471,2022-01-28,UK
472,2023-03-22,Canada
473,2021-09-03,Australia
474,2021-06-25,Australia
475,2021-02-08,USA
476,2022-04-22,Canada
477,2022-11-13,USA
478,2023-01-29,USA
479,2022-06-22,UK
480,2023-05-17,UK
481,2023-03-29,Australia
482,2022-02-12,USA
483,2022-06-09,Australia
484,2023-04-08,Canada
485,2022-05-21,USA
486,2023-04-05,USA
487,2021-02-05,Canada
488,2022-11-16,Canada
489,2021-01-20,Australia
490,2021-11-17,Australia
491,2023-02-15,Canada
492,2022-05-27,Australia
493,2022-02-04,Canada
494,2022-10-16,USA
495,2023-06-02,USA
496,2022-04-16,UK
497,2021-05-23,USA
498,2021-04-02,Canada
499,2021-12-20,Australia
500,2023-04-14,UK
501,2023-03-11,Australia
502,2022-12-28,Canada
503,2023-05-04,USA
504,2021-02-20,UK
505,2022-10-27,Canada
506,2022-11-29,UK
507,2022-07-29,UK
508,2021-07-09,USA
509,2021-05-05,Canada
510,2021-05-30,Australia
511,2021-11-10,UK
512,2022-07-24,UK
513,2021-12-08,Australia
514,2021-11-01,Canada
515,2022-11-23,UK
516,2022-11-13,UK
517,2023-04-18,UK
518,2023-02-22,Canada
519,2021-02-23,Canada
520,2022-03-20,Australia
521,2022-09-05,Canada
522,2021-09-21,Canada
523,2021-02-22,USA
524,2022-07-26,Australia
525,2022-09-12,UK
526,2021-01-05,Canada
527,2021-04-13,UK
528,2021-07-15,UK
529,2023-02-13,USA
530,2023-05-27,Canada
531,2023-06-03,Australia
532,2021-12-16,Canada
533,2021-02-16,UK
534,2023-05-17,Australia
535,2023-04-03,Canada
536,2023-03-31,UK
537,2022-10-18,UK
538,2021-09-26,USA
539,2022-01-05,USA
540,2022-09-28,USA
541,2021-04-16,UK
542,2022-11-01,Canada
543,2022-10-21,USA
544,2022-10-19,Canada
545,2021-04-30,USA
546,2023-04-11,Australia
547,2023-02-26,Australia
548,2022-08-27,USA
549,2021-02-27,UK
550,2021-12-12,USA
551,2023-01-11,USA
552,2022-04-19,UK
553,2021-04-27,Australia
554,2023-04-10,Canada
555,2023-03-02,USA
556,2021-05-07,UK
557,2022-01-28,USA
558,2022-10-03,UK
559,2021-02-27,Canada
560,2022-09-26,Canada
561,2022-05-28,Australia
562,2023-01-21,UK
563,2023-03-13,UK
564,2021-04-06,Australia
565,2022-09-30,Australia
566,2021-04-28,UK
567,2022-07-14,Australia
568,2022-08-24,Canada
569,2022-05-03,USA
570,2021-08-25,Canada
571,2023-06-04,Australia
572,2023-06-16,UK
573,2021-09-29,UK
574,2021-07-08,Canada
575,2022-12-05,UK
576,2022-03-23,Australia
577,2022-08-04,Canada
578,2023-03-01,UK
579,2023-05-11,USA
580,2021-09-04,USA
581,2021-03-17,Australia
582,2021-06-03,UK
583,2022-10-18,Australia
584,2022-03-11,Canada
585,2021-03-27,USA
586,2022-11-28,Canada
587,2021-10-12,UK
588,2021-08-08,Australia
589,2021-03-10,Australia
590,2021-02-16,Australia
591,2021-04-04,Canada
592,2023-01-20,USA
593,2022-03-29,Canada
594,2021-07-23,Canada
595,2021-08-06,UK
596,2022-04-19,UK
597,2022-03-08,UK
598,2021-12-07,USA
599,2022-07-05,USA
600,2022-09-04,UK
601,2021-10-16,UK
602,2021-09-11,USA
603,2023-01-04,Australia
604,2021-12-23,USA
605,2021-01-23,USA
606,2023-02-01,USA
607,2022-06-06,UK
608,2023-01-28,Australia
609,2023-04-17,USA
610,2021-04-10,UK
611,2023-03-13,Canada
612,2021-06-29,Canada
613,2021-08-11,USA
614,2023-02-01,Canada
615,2022-10-21,Australia
616,2022-03-18,Canada
617,2022-08-31,Canada
618,2023-02-08,Australia
619,2021-11-21,USA
620,2022-05-31,USA
621,2021-01-16,Australia
622,2023-03-03,Australia
623,2021-12-02,Australia
624,2023-01-29,Canada
625,2021-09-15,Australia
626,2022-05-12,UK
627,2023-06-15,Canada
628,2021-06-09,USA
629,2022-04-20,USA
630,2023-05-02,USA
631,2022-10-26,Canada
632,2022-11-21,UK
633,2022-11-06,Australia
634,2022-01-15,Australia
635,2022-06-29,USA
636,2022-11-22,USA
637,2022-03-03,Canada
638,2022-09-05,UK
639,2021-09-25,Australia
640,2023-04-15,Canada
641,2022-07-31,Australia
642,2022-02-21,USA
643,2021-06-17,Australia
644,2023-04-22,UK
645,2021-02-12,UK
646,2022-07-10,USA
647,2021-10-12,UK
648,2022-02-01,UK
649,2021-01-12,Canada
650,2022-08-30,Australia
651,2021-10-29,USA
652,2023-06-17,USA
653,2021-09-10,USA
654,2022-05-14,USA
655,2023-01-24,USA
656,2021-02-04,UK
657,2022-12-28,Canada
658,2023-04-29,USA
659,2021-03-31,Canada
660,2023-02-15,Canada
661,2022-08-28,UK
662,2022-08-25,USA
663,2022-02-22,UK
664,2021-04-25,USA
665,2022-09-09,UK
666,2021-07-15,Canada
667,2023-04-06,USA
668,2022-05-16,Australia
669,2022-09-18,Canada
670,2022-05-08,Australia
671,2021-03-16,Canada
672,2022-02-17,UK
673,2022-01-11,USA
674,2022-02-24,Canada
675,2022-12-30,UK
676,2021-10-04,USA
677,2023-01-31,USA
678,2022-11-07,Canada
679,2022-01-29,USA
680,2023-05-19,Canada
681,2022-04-02,USA
682,2021-07-11,Australia
683,2023-01-09,UK
684,2022-11-20,Australia
685,2021-04-09,Canada
686,2022-07-02,Australia
687,2021-04-06,Canada
688,2022-10-26,USA
689,2022-10-25,USA
690,2021-07-09,Canada
691,2023-01-06,Australia
692,2021-02-06,USA
693,2023-02-19,UK
694,2022-01-04,USA
695,2022-11-26,UK
696,2022-06-09,Australia
697,2021-10-06,UK
698,2021-08-05,UK
699,2023-05-17,UK
700,2023-05-23,UK
701,2023-03-09,USA
702,2021-09-30,UK
703,2023-05-31,USA
704,2021-03-03,UK
705,2022-08-19,Canada
706,2023-05-30,Australia
707,2022-12-30,UK
708,2021-12-08,Canada
709,2022-02-01,UK
710,2022-11-30,UK
711,2021-01-19,UK
712,2021-06-26,Canada
713,2022-09-04,Australia
714,2022-01-31,Canada
715,2022-03-21,Australia
716,2021-08-21,UK
717,2021-03-17,USA
718,2021-09-22,UK
719,2022-03-31,Australia
720,2023-03-07,Canada
721,2022-12-19,UK
722,2023-01-05,Canada
723,2022-01-19,Canada
724,2022-07-18,Canada
725,2023-05-01,UK
726,2022-05-21,Canada
727,2022-01-02,Canada
728,2021-05-24,UK
729,2023-06-04,Canada
730,2021-03-10,UK
731,2021-04-09,Australia
732,2022-01-31,Australia
733,2021-01-25,Australia
734,2023-06-10,Canada
735,2022-04-14,USA
736,2022-04-29,USA
737,2022-07-19,Canada
738,2021-05-31,USA
739,2021-05-24,UK
740,2022-07-23,USA
741,2021-02-08,Canada
742,2021-04-19,Canada
743,2022-11-24,UK
744,2021-02-11,Australia
745,2021-07-05,Canada
746,2022-02-02,UK
747,2021-08-11,USA
748,2022-09-26,USA
749,2021-05-13,UK
750,2021-06-12,UK
751,2021-08-03,Canada
752,2023-01-03,USA
753,2021-08-23,UK
754,2023-04-23,USA
755,2022-10-20,UK
756,2023-01-21,USA
757,2022-08-11,Australia
758,2021-01-09,Canada
759,2021-03-15,USA
760,2022-05-07,Australia
761,2021-09-10,USA
762,2021-08-18,USA
763,2022-06-03,Australia
764,2021-06-23,USA
765,2022-10-15,USA
766,2021-06-17,Canada
767,2021-06-19,Australia
768,2022-01-28,Australia
769,2023-03-06,UK
770,2022-09-26,USA
771,2021-07-13,Canada
772,2022-06-01,USA
773,2021-01-29,USA
774,2021-06-14,UK
775,2022-02-26,USA
776,2021-12-05,Canada
777,2022-10-10,Canada
778,2022-05-11,UK
779,2021-12-31,USA
780,2023-04-13,Canada
781,2021-12-08,USA
782,2022-05-15,USA
783,2022-10-19,USA
784,2022-05-26,UK
785,2021-11-23,USA
786,2021-08-05,Canada
787,2021-10-28,USA
788,2021-05-12,Canada
789,2023-03-15,USA
790,2021-03-11,Canada
791,2021-09-09,Canada
792,2022-02-19,USA
793,2023-02-26,USA
794,2022-03-21,Canada
795,2023-05-26,Australia
796,2021-07-01,UK
797,2021-06-16,Australia
798,2021-04-01,Australia
799,2022-12-15,USA
800,2023-05-08,UK
801,2022-06-15,Australia
802,2021-02-08,USA
803,2021-05-06,Australia
804,2022-03-27,Australia
805,2021-06-22,USA
806,2022-10-15,USA
807,2023-01-24,USA
808,2021-08-08,UK
809,2022-09-30,Australia
810,2021-02-27,USA
811,2022-10-22,Canada
812,2022-04-21,Australia
813,2022-04-01,Canada
814,2023-04-09,UK
815,2023-06-14,USA
816,2021-12-27,Canada
817,2021-01-01,UK
818,2022-01-22,USA
819,2021-12-14,Canada
820,2021-07-09,Canada
821,2022-05-20,UK
822,2021-07-10,USA
823,2022-05-23,USA
824,2022-01-04,Canada
825,2022-02-13,Canada
826,2023-04-04,Canada
827,2021-04-27,USA
828,2021-05-14,UK
829,2021-02-27,UK
830,2022-07-10,USA
831,2022-11-16,Australia
832,2022-11-03,UK
833,2021-06-22,Canada
834,2023-04-09,Australia
835,2023-03-26,Australia
836,2021-05-29,UK
837,2021-03-21,Australia
838,2023-06-05,Australia
839,2021-08-01,UK
840,2021-07-22,UK
841,2023-02-03,Australia
842,2021-08-17,Canada
843,2022-11-07,USA
844,2021-08-15,Australia
845,2022-10-21,Australia
846,2022-06-16,Canada
847,2022-03-17,Australia
848,2022-02-06,Australia
849,2021-02-16,USA
850,2021-08-21,USA
851,2021-11-01,USA
852,2022-06-10,UK
853,2021-05-23,UK
854,2022-02-19,USA
855,2022-05-28,USA
856,2022-01-08,UK
857,2022-07-20,Canada
858,2023-06-05,Australia
859,2021-09-16,Australia
860,2022-10-18,USA
861,2022-04-16,Canada
862,2021-01-12,UK
863,2021-11-26,USA
864,2023-01-06,Canada
865,2023-02-23,Canada
866,2021-12-24,Canada
867,2022-02-12,UK
868,2022-10-30,UK
869,2022-01-08,Australia
870,2021-01-08,Australia
871,2021-05-02,Canada
872,2021-12-14,Canada
873,2022-11-07,UK
874,2021-03-31,Australia
875,2022-10-10,Canada
876,2022-11-29,Australia
877,2021-11-12,Australia
878,2021-06-27,Canada
879,2022-06-24,UK
880,2023-01-02,Canada
881,2023-05-19,Canada
882,2021-02-10,Australia
883,2023-01-10,Canada
884,2022-12-05,UK
885,2022-05-17,Canada
886,2021-05-25,UK
887,2021-07-20,UK
888,2022-12-25,Australia
889,2022-04-06,USA
890,2023-01-02,USA
891,2023-01-22,Australia
892,2022-07-12,Canada
893,2022-07-01,Australia
894,2021-09-10,UK
895,2022-01-25,USA
896,2022-08-17,Australia
897,2023-06-02,Canada
898,2021-09-13,Australia
899,2022-12-10,USA
900,2023-03-26,Australia
901,2022-03-26,Australia
902,2021-01-10,USA
903,2023-04-04,UK
904,2023-03-09,UK
905,2021-08-30,USA
906,2021-09-08,Australia
907,2023-05-27,USA
908,2021-01-05,UK
909,2021-04-29,Canada
910,2023-03-12,Australia
911,2022-01-09,UK
912,2021-03-06,Australia
913,2021-05-26,USA
914,2021-08-12,Canada
915,2021-08-27,USA
916,2021-06-26,Canada
917,2023-02-18,Australia
918,2023-05-03,Australia
919,2021-10-09,USA
920,2021-03-04,Canada
921,2021-08-05,Canada
922,2023-05-04,Australia
923,2023-04-07,USA
924,2023-03-06,Canada
925,2022-11-20,Australia
926,2022-04-06,UK
927,2022-09-02,USA
928,2021-04-15,UK
929,2021-04-09,USA
930,2022-05-26,Australia
931,2022-01-20,Canada
932,2022-02-09,Canada
933,2023-04-03,Canada
934,2022-06-02,USA
935,2022-04-21,Australia
936,2022-12-10,UK
937,2023-05-13,Australia
938,2022-10-07,UK
939,2023-05-20,USA
940,2023-02-10,USA
941,2022-03-13,UK
942,2021-01-23,UK
943,2022-07-19,UK
944,2022-11-08,Australia
945,2022-12-15,UK
946,2022-04-03,USA
947,2021-03-24,USA
948,2021-05-25,Canada
949,2021-03-26,UK
950,2021-03-19,Australia
951,2022-04-02,Australia
952,2023-05-28,Australia
953,2021-01-01,Canada
954,2021-02-20,USA
955,2022-11-16,Australia
956,2022-12-18,USA
957,2023-02-11,Canada
958,2022-03-22,UK
959,2022-03-25,UK
960,2023-05-31,UK
961,2022-05-03,Australia
962,2023-03-11,UK
963,2021-02-03,Australia
964,2021-12-14,Canada
965,2021-04-05,Canada
966,2021-03-13,Australia
967,2022-07-05,USA
968,2021-06-03,UK
969,2021-09-07,UK
970,2022-11-05,UK
971,2022-03-14,Australia
972,2021-04-28,Canada
973,2023-02-10,UK
974,2023-06-10,Canada
975,2021-11-02,UK
976,2021-09-25,UK
977,2021-02-23,Australia
978,2021-08-24,USA
979,2022-01-24,Australia
980,2023-01-04,UK
981,2023-02-02,UK
982,2023-04-05,USA
983,2022-02-05,Canada
984,2022-09-16,Canada
985,2023-02-06,UK
986,2021-10-30,Canada
987,2021-07-26,UK
988,2021-08-17,USA
989,2023-05-03,USA
990,2022-08-01,UK
991,2021-03-16,USA
992,2022-03-11,Australia
993,2021-04-13,Australia
994,2022-02-26,USA
995,2022-12-05,UK
996,2023-02-03,UK
997,2023-01-08,USA
998,2023-03-17,Canada
999,2021-11-02,Australia
1000,2021-04-08,Canada
1001,2023-04-30,UK
1002,2023-03-09,UK
1003,2021-12-01,Canada
1004,2023-05-09,USA
1005,2022-03-11,Canada
1006,2022-03-23,Canada
1007,2021-11-04,Australia
1008,2021-09-06,Australia
1009,2021-06-15,Canada
1010,2022-04-26,Canada
1011,2021-12-01,UK
1012,2022-06-26,Australia
1013,2023-01-29,Australia
1014,2021-04-16,UK
1015,2022-07-17,USA
1016,2021-03-22,Australia
1017,2021-05-13,Australia
1018,2023-03-08,USA
1019,2023-06-19,Australia
1020,2021-05-18,Australia
1021,2021-07-03,USA
1022,2022-02-05,USA
1023,2021-11-26,Canada
1024,2023-02-24,UK
1025,2022-05-23,UK
1026,2023-05-02,USA
1027,2021-03-10,USA
1028,2022-06-30,Australia
1029,2023-02-13,Canada
1030,2021-02-22,Canada
1031,2022-03-26,USA
1032,2021-07-24,Australia
1033,2021-05-06,Australia
1034,2023-01-17,UK
1035,2021-02-12,UK
1036,2023-01-22,Australia
1037,2023-06-02,UK
1038,2021-04-21,USA
1039,2023-01-31,Australia
1040,2022-10-25,UK
1041,2021-07-02,Canada
1042,2023-04-28,Australia
1043,2021-04-05,Australia
1044,2022-01-09,Canada
1045,2022-06-04,USA
1046,2023-06-19,Canada
1047,2021-12-26,Australia
1048,2023-06-19,USA
1049,2022-11-27,UK
1050,2021-10-08,UK
1051,2021-07-14,UK
1052,2023-05-14,Australia
1053,2021-07-14,Canada
1054,2022-10-29,USA
1055,2021-04-03,UK
1056,2022-11-03,USA
1057,2021-03-02,Australia
1058,2022-09-26,UK
1059,2021-02-20,Australia
1060,2022-02-07,Canada
1061,2023-02-28,Australia
1062,2021-01-05,Australia
1063,2022-04-11,Canada
1064,2022-08-27,USA
1065,2022-11-13,Canada
1066,2023-04-09,Canada
1067,2022-06-18,Australia
1068,2022-02-09,USA
1069,2023-04-18,UK
1070,2022-05-28,Canada
1071,2022-10-07,USA
1072,2021-08-21,Canada
1073,2022-06-08,Canada
1074,2021-12-12,Canada
1075,2021-02-15,Canada
1076,2022-06-30,Australia
1077,2021-03-19,USA
1078,2022-12-31,USA
1079,2023-03-24,USA
1080,2021-03-14,Canada
1081,2023-03-05,Australia
1082,2021-09-06,Canada
1083,2021-02-16,Canada
1084,2021-05-01,USA
1085,2021-08-02,Canada
1086,2021-08-27,UK
1087,2021-02-25,Canada
1088,2021-12-16,UK
1089,2021-04-17,Canada
1090,2023-04-11,Australia
1091,2021-02-17,Australia
1092,2022-07-27,USA
1093,2021-12-03,Canada
1094,2021-01-26,UK
1095,2023-03-15,UK
1096,2021-09-14,Canada
1097,2021-01-08,UK
1098,2022-09-17,Australia
1099,2023-05-17,UK
1100,2021-09-10,USA
1101,2022-11-23,Australia
1102,2022-12-20,Australia
1103,2021-10-30,Australia
1104,2022-10-01,Canada
1105,2021-02-25,Canada
1106,2022-12-27,Australia
1107,2022-06-10,Canada
1108,2022-04-19,UK
1109,2021-01-28,Canada
